,code,name,date,weight
395,300296,利亚德,2017-06-01,0.4
396,600759,洲际油气,2017-06-01,0.19
397,600143,金发科技,2017-06-01,0.25
398,300297,蓝盾股份,2017-06-01,0.13
399,000572,海马汽车,2017-06-01,0.16
400,000661,长春高新,2017-06-01,0.43
401,600978,宜华生活,2017-06-01,0.32
402,600967,内蒙一机,2017-06-01,0.22
403,600511,国药股份,2017-06-01,0.28
404,000062,深圳华强,2017-06-01,0.17
405,000616,海航投资,2017-06-01,0.14
406,600575,皖江物流,2017-06-01,0.18
407,600743,华远地产,2017-06-01,0.11
408,600351,亚宝药业,2017-06-01,0.11
409,600094,大名城,2017-06-01,0.24
410,600282,南钢股份,2017-06-01,0.17
411,600808,马钢股份,2017-06-01,0.26
412,002244,滨江集团,2017-06-01,0.17
413,000697,炼石有色,2017-06-01,0.25
414,600120,浙江东方,2017-06-01,0.21
415,002038,双鹭药业,2017-06-01,0.3
416,002489,浙江永强,2017-06-01,0.2
417,000089,深圳机场,2017-06-01,0.26
418,600006,东风汽车,2017-06-01,0.12
419,000543,皖能电力,2017-06-01,0.16
420,603806,福斯特,2017-06-01,0.07
421,600325,华发股份,2017-06-01,0.3
422,000727,华东科技,2017-06-01,0.21
423,002285,世联行,2017-06-01,0.17
424,600517,XD置信电,2017-06-01,0.14
425,002266,浙富控股,2017-06-01,0.18
426,000726,鲁 泰Ａ,2017-06-01,0.15
427,000959,首钢股份,2017-06-01,0.29
428,002544,杰赛科技,2017-06-01,0.19
429,300055,万邦达,2017-06-01,0.3
430,603883,老百姓,2017-06-01,0.13
431,002701,奥瑞金,2017-06-01,0.25
432,300115,长盈精密,2017-06-01,0.42
433,000501,鄂武商Ａ,2017-06-01,0.17
434,002392,北京利尔,2017-06-01,0.1
435,000998,隆平高科,2017-06-01,0.37
436,002011,盾安环境,2017-06-01,0.2
437,600633,浙数文化,2017-06-01,0.26
438,000426,兴业矿业,2017-06-01,0.12
439,600195,中牧股份,2017-06-01,0.11
440,002276,万马股份,2017-06-01,0.14
441,002508,老板电器,2017-06-01,0.56
442,600557,康缘药业,2017-06-01,0.18
443,600422,昆药集团,2017-06-01,0.16
444,603528,多伦科技,2017-06-01,0.07
445,000681,视觉中国,2017-06-01,0.12
446,002410,广联达,2017-06-01,0.31
447,300113,顺网科技,2017-06-01,0.29
448,600141,兴发集团,2017-06-01,0.12
449,000973,佛塑科技,2017-06-01,0.15
450,002407,多氟多,2017-06-01,0.25
451,002422,科伦药业,2017-06-01,0.37
452,000816,智慧农业,2017-06-01,0.22
453,002217,合力泰,2017-06-01,0.21
454,603866,桃李面包,2017-06-01,0.04
455,600366,宁波韵升,2017-06-01,0.18
456,600859,王府井,2017-06-01,0.13
457,600880,博瑞传播,2017-06-01,0.13
458,603328,依顿电子,2017-06-01,0.08
459,000418,小天鹅Ａ,2017-06-01,0.29
460,002384,东山精密,2017-06-01,0.29
461,300001,特锐德,2017-06-01,0.17
462,000690,宝新能源,2017-06-01,0.21
463,002327,富安娜,2017-06-01,0.1
464,002250,联化科技,2017-06-01,0.21
465,000049,德赛电池,2017-06-01,0.18
466,002028,思源电气,2017-06-01,0.25
467,002041,登海种业,2017-06-01,0.12
468,600175,美都能源,2017-06-01,0.17
469,002155,湖南黄金,2017-06-01,0.18
470,600267,海正药业,2017-06-01,0.17
471,600259,广晟有色,2017-06-01,0.15
472,600563,法拉电子,2017-06-01,0.16
473,002460,赣锋锂业,2017-06-01,0.58
474,600158,中体产业,2017-06-01,0.26
475,002311,海大集团,2017-06-01,0.36
476,002268,卫 士 通,2017-06-01,0.2
477,000600,建投能源,2017-06-01,0.24
478,600640,号百控股,2017-06-01,0.1
479,002261,拓维信息,2017-06-01,0.21
480,600478,科力远,2017-06-01,0.24
481,600240,华业资本,2017-06-01,0.24
482,002325,洪涛股份,2017-06-01,0.14
483,600260,凯乐科技,2017-06-01,0.28
484,000563,陕国投Ａ,2017-06-01,0.16
485,300136,信维通信,2017-06-01,0.66
486,002635,安洁科技,2017-06-01,0.26
487,002366,台海核电,2017-06-01,0.29
488,000517,荣安地产,2017-06-01,0.08
489,300244,迪安诊断,2017-06-01,0.26
490,601012,隆基股份,2017-06-01,0.49
491,600338,西藏珠峰,2017-06-01,0.12
492,600881,亚泰集团,2017-06-01,0.26
493,300266,兴源环境,2017-06-01,0.35
494,002670,国盛金控,2017-06-01,0.08
495,600525,长园集团,2017-06-01,0.47
496,000877,天山股份,2017-06-01,0.17
497,002048,宁波华翔,2017-06-01,0.22
498,600251,冠农股份,2017-06-01,0.09
499,600790,轻纺城,2017-06-01,0.14
